"name","claimvalues","cpos","cdate","quote","parties","doc_id","rowid"
"Hans-Peter Friedrich","[100,190]",-1,2015-09-11,"Der frühere Bundesinnenminister Hans Peter Friedrich legte nach und bezeichnet die Entscheidung  die Flüchtlinge aus Ungarn unregistriert ins Land zu lassen  als   beispiellose politische Fehlleistung   der Bundesregierung  auch weil eine schwer abschätzbare Zahl von IS Kämpfern und islamistischen Schläfern sei ","CSU",120964,"C1"
"Thomas Oppermann","[700,701]",-1,2015-09-11," Und SPD Fraktionschef Thomas Oppermann kritisierte    Da soll nur zusätzlich Angst geschürt werden    dabei habe CSU auch keine Antwort auf die Probleme","SPD",120964,"C2"
"Hans-Peter Friedrich","[100,105]",1,2015-09-11,"Der frühere Bundesinnenminister Hans Peter Friedrich legte nach und bezeichnet die Entscheidung  die Flüchtlinge aus Ungarn unregistriert ins Land zu lassen  als   beispiellose politische Fehlleistung   der Bundesregierung  auch weil eine schwer abschätzbare Zahl von IS Kämpfern und islamistischen Schläfern sei ","CSU",120964,"C3"
"Angela Merkel","[100,102]",-1,2015-09-11," Das Grundrecht auf Asyl für politisch Verfolgte kennt keine Obergrenze    verkündete Merkel ebenfalls per Interview ","CDU",120964,"C4"
"Angela Merkel","[100,102]",-1,2015-09-11,"Die lehnt es ab  die Aufnahme von Flüchtlingen zu begrenzen ","CDU",120964,"C5"
"Claudia Roth","[100,105]",-1,2015-09-11,"Bundestagsvizepräsidentin Claudia Roth  Grüne  bezeichnete Friedrichs Äußerungen als   vollkommenen Blödsinn   und   furchtbar    ","Green",120964,"C6"
"Jens Spahn","[700,707]",1,2015-09-03,"Aber Armutsauswanderung ist eben keine Flucht und damit kein Asylgrund ","CDU",145799,"C7"
"Jens Spahn","[500,504]",1,2015-09-03,"Wenn auch die EU hoffentlich bald sichere Herkunftsländer definiert haben wird  dann sollte man nicht schlauer sein wollen als die EU ","CDU",145799,"C8"
"CDU","[800,812]",1,2015-09-03,"Die Verfahren sollen bereits in den Erstaufnahmeeinrichtungen forciert werden  etwa durch Außenstellen von Gerichten ","CDU",145799,"C9"
"SPD","[800,812]",1,2015-09-03,"Die Verfahren sollen bereits in den Erstaufnahmeeinrichtungen forciert werden  etwa durch Außenstellen von Gerichten ","SPD",145799,"C10"
"Jens Spahn","[300,302,399,600,601]",1,2015-09-03,"Und deutlich frühere Integration  inklusive Deutschkursen und Arbeitssuche  für diejenigen  die als Flüchtlinge länger oder für immer bleiben werden ","CDU",145799,"C11"
"Jens Spahn","[100,101]",1,2015-09-03," Eine Einwanderung ohne klare Jobperspektive jedenfalls geht nicht ","CDU",145799,"C12"
"Jens Spahn","[700,709]",-1,2015-09-03,"Die Teilnahme an einer NPD Demo etwa geht gar nicht ","CDU",145799,"C13"
"CDU","[500,504]",1,2015-09-03,"Sichere Herkunftsländer  Die Koalition möchte drei weitere Balkanstaaten zu sicheren Herkunftsländern erklären  nämlich Albanien  Kosovo und Montenegro ","CDU",145799,"C14"
"SPD","[500,504]",1,2015-09-03,"Sichere Herkunftsländer  Die Koalition möchte drei weitere Balkanstaaten zu sicheren Herkunftsländern erklären  nämlich Albanien  Kosovo und Montenegro ","SPD",145799,"C15"
"CSU","[200,207,800,812]",1,2015-09-03,"Abschiebungen  Union und SPD wollen Asylverfahren beschleunigen  geplant sind drei Monate statt bisher neun ","CSU",145799,"C16"
"CDU","[200,207,800,812]",1,2015-09-03,"Abschiebungen  Union und SPD wollen Asylverfahren beschleunigen  geplant sind drei Monate statt bisher neun ","CDU",145799,"C17"
"SPD","[200,207,800,812]",1,2015-09-03,"Abschiebungen  Union und SPD wollen Asylverfahren beschleunigen  geplant sind drei Monate statt bisher neun ","SPD",145799,"C18"
"Jens Spahn","[700,712]",1,2015-09-03," Viel entscheidender ist die gesellschaftliche Diskussion über Zuwanderung  wir brauchen eine Änderung des Blickwinkels ","CDU",145799,"C19"
"Jens Spahn","[500,504,800,812]",1,2015-09-03,"Schnellere und zentrale Verfahren für die höchstwahrscheinlich erfolglosen Asylanträge aus dem Balkan ","CDU",145799,"C20"
"Jens Spahn","[700,710]",-1,2015-09-03," Im Gegenzug werde ich als Nazi beschimpft  weil ich etwas gegen vermummte Linksextremisten habe ","CDU",145799,"C21"
"Jens Spahn","[700,712]",1,2015-09-03,"Die Kunst ist  berechtigten Fragen ernsthaft zu begegnen  ohne billig nach dem Mund zu reden  Zu viele haben den Eindruck  sie können ihre Sorgen nicht mehr vorbringen  Zuhören und argumentieren  auch wenn da mal ein Satz quer liegt  bei dem die politisch korrekte Hauptstadtszene sofort zusammenzuckt ","CDU",145799,"C22"
"Ministerpräsidenten der Länder","[800,805]",1,2015-09-10,"Bundesregierung muss für den Ausgleich und die Flüchtlingshilfe zuschießen","NA",124426,"C23"
"Hans-Günter Henneke","[600,605]",-1,2015-09-10,"So hatte der Hauptgeschäftsführer des Deutschen Landkreistages  Hans Günter Henneke  in der letzten Woche verlangt  für die Dauer von drei Monaten bei Flüchtlingen auf den Mindestlohn zu verzichten ","NA",124424,"C24"
"Wolfgang Schäuble","[800,804]",1,2015-09-10,"Bundesfinanzminister Wolfgang Schäuble will angesichts des starken Zuzugs von Flüchtlingen     Zollbeamte zum Bundesamt für Migration und Integration  Bamf  sowie zur Bundespolizei abordnen ","CDU",124424,"C25"
"Industrie","[600,605]",-1,2015-09-10,"Schäubles Abordnung kommt inmitten von Forderungen aus Industrie und Verwaltung  den Mindestlohn für Flüchtlinge zumindest teilweise auszusetzen ","NA",124424,"C26"
"Verwaltung","[600,605]",-1,2015-09-10,"Schäubles Abordnung kommt inmitten von Forderungen aus Industrie und Verwaltung  den Mindestlohn für Flüchtlinge zumindest teilweise auszusetzen ","NA",124424,"C27"
"Peter Kulitz","[600,605]",-1,2015-09-10,"Peter Kulitz  Präsident des baden württembergischen Industrie  und Handelskammertags  sprach sich sogar generell gegen einen Mindestlohn für Flüchtlinge aus   ","NA",124424,"C28"
"Reiner Hoffmann","[600,606]",-1,2015-09-10,"Dagegen warnte DGB Chef Reiner Hoffmann am Donnerstag davor  Menschen in finanzieller Notlage als billige Arbeitskräfte auszunutzen ","SPD",124424,"C29"
"Wolfgang Schäuble","[800,804]",1,2015-09-10,"Schäuble  Flüchtlingsarbeit statt Mindestlohnkontrolle","CDU",124424,"C30"
"Reiner Hoffmann","[600,605]",1,2015-09-10,"Eine Aussetzung des Mindestlohns für Flüchtlinge sei mit den Gewerkschaften nicht zu machen  sagte er im SWR","SPD",124424,"C31"
"Michael Fischer","[600,605]",1,2015-09-10,"Michael Fischer  Verdi Bereichsleiter Politik  argumentierte ähnlich ","NA",124424,"C32"
"Wolfgang Schäuble","[800,804]",1,2015-09-10," Finanzminister will Zollbeschäftigte abziehen ","CDU",124424,"C33"
"Peter Kulitz","[600,605]",-1,2015-09-10,"Das Vermitteln und Erlernen unserer Kultur und von Umgangsweisen in Alltagssituationen  die eine Teilhabe an unserer Gesellschaft erst möglich machen  darf nicht durch eine starre Anwendung bürokratischer Mindestlohnregelungen verhindert werden    so Kulitz ","NA",124424,"C34"
"Michael Fischer","[800,809]",1,2015-09-10,"Er forderte daher stärkere Kontrollen der Mindestarbeitsbedingungen ","NA",124424,"C35"
"Ungarn","[500,501]",-1,2015-09-04,"Erst am Freitag hatten die so genannten Vizegrad Staaten  Ungarn  Polen  Tschechien und Slowakei  ihr Nein zur Aufnahme weiterer Flüchtlinge bekräftigt ","NA",109406,"C36"
"Polen","[500,501]",-1,2015-09-04,"Erst am Freitag hatten die so genannten Vizegrad Staaten  Ungarn  Polen  Tschechien und Slowakei  ihr Nein zur Aufnahme weiterer Flüchtlinge bekräftigt ","NA",109406,"C37"
"Tschechien","[500,501]",-1,2015-09-04,"Erst am Freitag hatten die so genannten Vizegrad Staaten  Ungarn  Polen  Tschechien und Slowakei  ihr Nein zur Aufnahme weiterer Flüchtlinge bekräftigt ","NA",109406,"C38"
"Slowakei","[500,501]",-1,2015-09-04,"Erst am Freitag hatten die so genannten Vizegrad Staaten  Ungarn  Polen  Tschechien und Slowakei  ihr Nein zur Aufnahme weiterer Flüchtlinge bekräftigt ","NA",109406,"C39"
"baltischen Staaten","[500,501]",-1,2015-09-06,"Auch die baltischen Staaten lehnen eine verpflichtende Quote ab ","NA",109406,"C40"
"David Cameron","[500,501]",1,2015-09-06,"Selbst der britische Premier David Cameron  der sich bisher als Mr Gnadenlos präsentiert hatte  hat sich unter dem Eindruck von Schockfotos eines ertrunkenen Flüchtlingskinds am Strand von Bodrum zur Aufnahme weiterer Syrer bereit erklärt ","NA",109406,"C41"
"Deutschland","[500,501]",1,2015-09-06,"Deutschland und Frankreich stehen zwar hinter Junckers Quotierungsplänen ","NA",109406,"C42"
"Frankreich","[500,501]",1,2015-09-06,"Deutschland und Frankreich stehen zwar hinter Junckers Quotierungsplänen ","NA",109406,"C43"
"28 Außenminister","[100,109]",1,2015-09-06,"Einig waren sich die    Außenminister nur darin  stärker gegen Schlepper vorzugehen ","NA",109406,"C44"
"Jean-Claude Juncker","[500,501]",1,2015-09-09,"Erst am Mittwoch will Kommissionschef Jean Claude Juncker seine neuen Pläne für eine gerechtere Verteilung der Flüchtlinge enthüllen  Dabei sind die wichtigsten Details längst durchgesickert  Noch einmal         Migranten möchte Juncker auf die EU Staaten verteilen  zusätzlich zu den bereits im Mai vorgeschlagenen        Menschen ","NA",109406,"C45"
"Deutschland","[100,109]",1,2015-09-06,"Deutschland will sich beteiligen  allerdings muss zunächst noch der Bundestag zustimmen ","NA",109406,"C46"
"Deutschland","[500,501]",1,2015-09-06," Nicht einmal ein Sondergipfel ist geplant  wie ihn Berlin und Wien vehement fordern  ","NA",109406,"C47"
"Österreich","[500,501]",1,2015-09-06," Nicht einmal ein Sondergipfel ist geplant  wie ihn Berlin und Wien vehement fordern  ","NA",109406,"C48"
"Viele Staaten","[100,104]",1,2015-09-06,"  Viele Staaten lehnen eine Flüchtlingsaufnahme ab ","NA",109406,"C49"
"EU","[100,109]",1,2015-09-06,"Einigkeit besteht nur im Vorgehen gegen Schlepper","NA",109406,"C50"
"Ungarn","[100,104]",1,2015-09-06," Ungarn will schon bald seine Grenze dicht machen","NA",109406,"C51"
"Miroslav Lajcák","[100,104,105]",1,2015-09-06,"Der slowakische Außenminister Miroslav Lajcák  der zu den Hardlinern zählt  warnte vor einer   Sogwirkung   und einer   Einladung   an die Flüchtlinge  wenn Europa die Regeln zu Grenzsicherung und Asyl über Bord werfe","NA",109406,"C52"
"Bundesinnenministerium","[200,207]",1,2015-09-09,"Das Ministerium drängte auf eine noch konsequentere Abschiebung abgelehnter Bewerber ","NA",119305,"C53"
"Markus Ihle","[100,101,500,501]",1,2015-09-08,"Es brauche Einrichtungen an den EU Außengrenzen  um legal einreisen zu können  findet Ihle  der auch Chef der Ortsteil CSU ist ","CSU",138151,"C54"
"Bernhard Krüsken","[600,603]",1,2015-09-14,"  Die Beschäftigung von Flüchtlingen in der Landwirtschaft ist absolut sinnvoll  Wenn wir mehr Möglichkeit hätten  würden wir das auch begrüßen    sagte der Generalsekretär der Deutschen Bauernverbandes  Bernhard Krüsken  der taz ","NA",141014,"C55"
"Bernhard Krüsken","[600,603]",1,2015-09-14,"Flüchtlinge müssten zu den gleichen Bedingungen arbeiten können wie die regulären Saisonarbeitskräfte   die jetzt schon in Deutschland tätig sind     forderte der Generalsekretär  ","NA",141014,"C56"
"Bernhard Krüsken","[600,603]",1,2015-09-14," Wir wünschen uns  dass die Hürden  die das Asylrecht vorsieht  deutlich gesenkt werden ","NA",141014,"C57"
"Bernhard Krüsken","[600,605]",1,2015-09-14," Wir haben den Mindestlohn  Der gilt auch für Flüchtlinge   ","NA",141014,"C58"
"die Tante  des ertrunkenen syrischen Flüchtlingsjungen Ailan Kurdi","[100,111]",1,2015-09-14,"Dem Sterben im Mittelmeer müsse ein Ende bereitet werden  forderte sie auf dem Schuman Platz im Brüsseler Europaviertel ","NA",141042,"C59"
"Robert Kalinak","[500,501]",-1,2015-09-14," Doch Quoten für die geplante Verteilung von         weiteren Menschen lehne die Slowakei weiter ab  sagte Innenminister Robert Kalinak","NA",141042,"C60"
"Thomas de Maizière","[800,810]",1,2015-09-14,"Nötig seien genaue Zeitpläne  forderte der CDU Politiker in Brüssel    ","CDU",141042,"C61"
"Jean Asselborn","[500,501]",1,2015-09-14,"Wenn die EU sich nicht auf eine gemeinsame Strategie in der Flüchtlingsfrage einige  sei   Chaos die Folge","NA",141042,"C62"
"Stefan Ries","[800,808]",1,2015-09-14," Die Voraussetzung dafür ist  dass Politik und Wirtschaft jetzt noch enger zusammenarbeiten","NA",141020,"C63"
"Stefan Ries","[800,812]",1,2015-09-14,"Personalvorstand Stefan Ries fordert schnelle Asylverfahren","NA",141020,"C64"
"Stefan Ries","[800,812]",1,2015-09-14," Allerdings wünschen wir uns  dass die Verfahren beschleunigt werden ","NA",141020,"C65"
"Stefan Ries","[300,306]",1,2015-09-14,"Wir brauchen Menschen aus verschiedenen Kulturkreisen und Ländern ","NA",141020,"C66"
"Polen","[500,501]",-1,2015-09-14,"Auch Polen schaltete auf stur ","NA",141042,"C67"
"28  Europaminister","[100,106,500,508]",1,2015-09-14,"Die    Europaminister gaben grünes Licht für die zweite Phase des umstrittenen Militäreinsatzes vor der libyschen Küste ","NA",141042,"C68"
"Deutschland","[100,109]",1,2015-09-14,"Deutschland will sich mit zwei Booten beteiligen  allerdings muss der Bundestag noch zustimmen ","NA",141042,"C69"
"EU","[500,501]",1,2015-09-14,"Dann soll es noch zwei Jahre dauern  bis         Hilfesuchende nach einer von Brüssel überwachten Quote auf die EU Staaten verteilt werden ","NA",141042,"C70"
"EU","[100,109]",1,2015-09-14,"Ab Oktober sollen Schiffe von Menschenhändlern auf hoher See aufgebracht und Schleuser festgenommen werden ","NA",141042,"C71"
"Niederlande","[100,105]",1,2015-09-14,"Auch Polen und die Niederlande wollten das Schengen Abkommen aussetzen ","NA",141042,"C72"
"Polen","[100,105]",1,2015-09-14,"Auch Polen und die Niederlande wollten das Schengen Abkommen aussetzen ","NA",141042,"C73"
"Bundesregierung","[100,105,500,509]",1,2015-09-02,"Es gelte weiter  dass die Ankunftsländer zuständig seien  betont Berlin  drängt wieder auf Grenzkontrollen   und enttäuscht   die selbst geweckten Hoffnungen","NA",127859,"C74"
"Wolfgang Schäuble","[800,805]",1,2015-09-05,"Schäuble plant Nachtragsetat","CDU",109354,"C75"
"Wolfgang Schäuble","[800,805]",1,2015-09-06,"Finanzminister Wolfgang Schäuble  CDU  trifft Vorsorge  um die steigenden Kosten der Flüchtlingskrise finanzieren zu können ","CDU",109354,"C76"
"Ungarn","[100,104]",1,2015-09-06,"Ungarn will schon bald seine Grenze dicht machen","NA",109354,"C77"
"SPD","[900]",1,2015-09-08,"  Rot Rot in Brandenburg pocht darauf  dass die eigentlich für das Betreuungsgeld gedachten Mittel für Kitas verwendet werden ","SPD",138146,"C78"
"Linke","[900]",1,2015-09-08,"  Rot Rot in Brandenburg pocht darauf  dass die eigentlich für das Betreuungsgeld gedachten Mittel für Kitas verwendet werden ","Left",138146,"C79"
"SPD","[900]",1,2015-09-08,"Beide Fraktionen forderten die Landesregierung auf   sich auf Bundesebene dafür einzusetzen  ","SPD",138146,"C80"
"Linke","[900]",1,2015-09-08,"Beide Fraktionen forderten die Landesregierung auf   sich auf Bundesebene dafür einzusetzen  ","Left",138146,"C81"
"Blockupy","[100,190]",-1,2015-09-14,"Bei seinen künftigen Protesten will das Blockupy Bündnis  das bislang in erster Linie gegen die europäische Sparpolitik gekämpft hat  den Fokus ebenfalls verstärkt auf die Migrationspolitik legen ","NA",140981,"C82"
"Blockupy","[700,708]",1,2015-09-14,"Nach den teils gewalttätigen Ausschreitungen bei den sogenannten Blockupy Blockaden im März in Frankfurt am Main ruft das kapitalismuskritische Bündnis nun zu weiteren Protesten auf ","NA",140981,"C83"
"Hannah Eberle","[700,708]",1,2015-09-14,"Sprecherin Hannah Eberle sagte am Montag    Wer ein Europa von unten haben will  hat jetzt die Aufgabe  sich an die Seite der Geflüchteten zu stellen  ","NA",140981,"C84"
"Blockupy","[900]",1,2015-09-14,"Aus Protest gegen das geplante transatlantische Freihandelsabkommen TTIP soll dann außerdem fünf Tage lang in Brüssel ein   No TTIP Camp   eingerichtet werden  ","NA",140981,"C85"
"SPD","[900]",1,2015-09-08,"Beide Fraktionen forderten die Landesregierung auf   sich auf Bundesebene dafür einzusetzen  ","SPD",138146,"C86"
"Linke","[900]",1,2015-09-08,"Beide Fraktionen forderten die Landesregierung auf   sich auf Bundesebene dafür einzusetzen  ","Left",138146,"C87"
"Katrin Göring-Eckardt","[700,703]",-1,2015-09-11,"afp   taz   Die Grünen Fraktionschefin Katrin Göring Eckardt ist nach rechten Hetzparolen wegen ihres Einsatzes für Flüchtlinge in die Offensive gegangen  ","Green",120979,"C88"
"Thilo Sarrazin","[100,110]",-1,2015-09-14,"Notorische   Asylkritiker   kamen dagegen kaum zu Wort   Thilo Sarrazin musste sogar auf die bürgerliche Zeit ausweichen   um seine plakative Forderung unterzubringen   Flüchtlingsboote zu versenken   die Bild zitierte ihn damit nicht einmal  ","SPD",140956,"C89"
"Bild-Zeitung","[700,705]",1,2015-09-14,"Nicht nur dass sie den Antifa Slogan   Refugees Welcome   kaperte und für sich übernahm   mit ihrer   Wir helfen   Aktion im   Ein Herz für Kinder   Stil setzten sie noch eins drauf und brachte gleich mehrere Minister wie SPD Chef Sigmar Gabriel dazu  sich den Slogan als Button ans Revers zu heften ","NA",140956,"C90"
"Bild-Zeitung","[700,701,703]",-1,2015-09-14,"Doch seit Pegida und Heidenau unterstützt das Blatt sogar die Bemühungen von Politikern  die   Hetze gegen Flüchtlinge   zu stoppen  und wirft jetzt Facebook vor  nicht genug gegen Hasskommentare zu unternehmen ","NA",140956,"C91"
"Bild-Zeitung","[100,102,105]",1,2015-09-14,"Am Montag lag das Boulevardblatt auch in Sachen Grenzkontrollen wieder ganz auf Regierungslinie  redete auf seiner Titelseite von   Flüchtlings Chaos    von einem   Massenansturm   und einer   Notbremse    die gezogen werden müsse   alles alarmistische Signalworte  die es in den vergangenen Wochen sorgsam vermieden hatte ","NA",140956,"C92"
"BAMF","[200,207,500,509]",-1,2015-09-06,"Am Wochenende zuvor war bekannt geworden  dass das Bundesamt für Migration in Deutschland davon absieht  geflohene Syrer in andere EU Länder abzuschieben ","NA",109427,"C93"
"Einwohner","[200,202]",-1,2015-09-01,"Als das Land Sachsen eine Fabrik kurzfristig zum Erstaufnahmelager bestimmte  blockierten Einwohner die Zufahrt ","NA",109657,"C94"
"Martin Patzelt","[200,206]",1,2015-09-01,"Deshalb bin ich gegen Gemeinschaftsunterkünfte und für privaten Wohnraum für Flüchtlinge ","CDU",126203,"C95"
"Martin Patzelt","[200,203]",-1,2015-09-01,"Deshalb bin ich gegen Gemeinschaftsunterkünfte und für privaten Wohnraum für Flüchtlinge ","CDU",126203,"C96"
"Viktor Orban","[100,107]",1,2015-09-03,"   September  Orbán kündigt neben dem Zaun an der ungarisch serbischen Grenze den Bau eines weiteren Zauns an der Grenze zu Kroatien an ","NA",140873,"C97"
"taz","[100,108]",1,2015-09-01," Die taz stellt deshalb ein liberales Einwanderungsgesetz zur Diskussion","NA",126302,"C98"
"Bundesregierung","[800,805]",1,2015-09-10,"Die Bundesregierung stellt     Millionen Euro zur Unterstützung freiwilliger Flüchtlingshelfer bereit ","NA",124431,"C99"
"EU-Kommission","[800,801]",1,2015-09-03,"In Brüssel kommt Orbán mit seiner Verweigerungshaltung allerdings nicht weit  Während die EU Kommission beim Bau des Grenzzauns noch beide Augen zudrückte  will sie Orbán nun zur Einhaltung des EU Rechts ermahnen ","NA",145806,"C100"
"Angela Merkel","[100,190]",1,2015-09-03,"  Deutschland tut das  was moralisch und was rechtlich geboten ist  Und nicht mehr und nicht weniger    kommentierte Bundeskanzlerin Angela Merkel die Auslassungen des ungarischen Regierungschefs   ","CDU",145806,"C101"
"Viktor Orban","[100,107,200,215]",1,2015-09-03,"Wie ernst es Orbán meint  zeigen seine jüngsten Pläne  Nach dem Bau eines Grenzzauns zu Serbien will er nun auch noch eine   Transitzone   hinter der Grenze einrichten und die Gesetze verschärfen ","NA",145806,"C102"
